data;ppt;t_max;t_med;t_min;ur_max;ur_med;ur_min;rad_global;rad_liq;v_max;v_med
1997-01-01;  0,000;29,877;24,109;19,365; 91,398; 72,106;  44,437;20,178;; 9,950;2,863
1997-01-02;  0,400;25,066;22,003;19,856; 92,932; 77,646;  65,994; 9,742;; 9,200;2,110
1997-01-03;  0,000;26,612;21,758;18,531; 90,741; 72,727;  53,316;19,130;; 8,450;2,753
1997-01-04;  0,000;28,881;22,719;17,167; 99,899; 78,768;  51,089;23,157;; 7,700;0,961
1997-01-05;  0,000;30,334;23,417;18,534;100,000; 80,463;  40,342;22,363;; 7,700;1,039
1997-01-06;  0,300;29,896;23,259;18,354;100,000; 83,521;  50,218;21,084;; 6,950;0,787
1997-01-07;  2,900;31,285;24,784;18,246;100,000; 75,640;  46,115;26,854;; 8,450;0,862
1997-01-08; 12,600;31,740;24,244;20,082;100,000; 85,624;  52,561;19,033;; 9,950;0,843
1997-01-09;  1,100;28,422;22,791;19,853;100,000; 91,461;  60,903;16,012;; 3,200;0,358
1997-01-10; 25,800;27,369;21,832;19,462;100,000; 97,105;  69,904; 9,557;;14,450;0,605
1997-01-11;  6,500;27,775;22,523;19,940;100,000; 92,024;  64,462;18,647;; 6,200;0,685
1997-01-12; 10,900;29,040;23,295;20,540;100,000; 90,805;  60,970;18,697;; 9,200;0,741
1997-01-13;  2,000;28,389;22,893;20,469;100,000; 93,741;  64,867;15,767;; 7,700;1,072
1997-01-14;  1,100;30,449;24,291;20,600;100,000; 87,207;  56,654;21,487;; 8,450;0,804
1997-01-15;  0,400;30,693;23,924;20,774;100,000; 89,397;  54,641;19,820;; 7,700;0,822
1997-01-16;  0,100;28,344;23,873;20,878;100,000; 86,350;  60,567;19,336;; 8,450;1,237
1997-01-17;  5,800;26,911;22,997;20,171; 99,208; 87,084;  69,708; 9,105;; 9,200;1,508
1997-01-18;  0,000;29,371;23,757;17,142;100,000; 76,863;  52,901;23,045;; 6,950;1,301
1997-01-19; 19,200;29,718;23,761;20,330;100,000; 89,995;  63,039;18,331;; 9,200;0,655
1997-01-20; 30,300;30,227;23,480;20,137;100,000; 92,540;  59,359;17,459;; 9,200;0,870
1997-01-21;  1,000;29,354;23,846;20,703;100,000; 90,066;  60,702;15,116;; 6,950;0,630
1997-01-22; 19,400;29,854;23,601;20,565;100,000; 88,629;  55,720;17,105;; 8,450;0,957
1997-01-23; 19,500;28,511;23,074;19,930;100,000; 90,444;  61,507;20,198;; 6,950;1,161
1997-01-24; 27,300;28,541;21,713;19,623;100,000; 96,904;  69,229;12,530;; 7,700;0,922
1997-01-25;  2,700;26,098;22,609;20,077;100,000; 93,146;  74,094;13,056;; 5,450;0,890
1997-01-26; 16,500;24,553;21,659;20,389;100,000; 97,568;  81,764; 7,665;; 6,200;0,626
1997-01-27; 36,100;28,051;22,186;19,504;100,000; 94,510;  67,294;12,962;; 7,700;1,031
1997-01-28; 33,600;29,707;22,311;19,428;100,000; 93,346;  58,419;17,244;; 6,950;0,995
1997-01-29;  0,500;29,915;24,367;19,460;100,000; 82,793;  54,508;27,767;; 6,950;1,014
1997-01-30;  1,200;31,235;24,968;20,283;100,000; 79,619;  46,786;25,299;; 6,200;0,636
1997-01-31; 31,800;29,721;23,035;20,472;100,000; 93,120;  56,129;20,829;; 9,950;1,263
1997-02-01;  0,000;30,448;24,522;20,145;100,000; 78,652;  45,056;21,719;; 9,950;1,944
1997-02-02;  6,800;25,647;21,689;19,449;100,000; 92,855;  70,922;12,239;; 8,450;1,357
1997-02-03; 10,600;25,270;21,094;18,916;100,000; 94,842;  73,623;11,220;; 5,450;0,717
1997-02-04;  0,000;31,637;24,331;18,570;100,000; 81,055;  43,363;26,727;; 6,200;0,450
1997-02-05;  0,000;32,377;25,880;19,066;100,000; 71,083;  35,576;28,510;; 9,200;1,148
1997-02-06;  0,000;32,217;25,433;19,517; 99,882; 72,504;  39,604;26,558;; 6,200;0,856
1997-02-07;  0,000;32,479;25,099;18,588;100,000; 73,364;  36,315;26,487;; 8,450;1,050
1997-02-08;  0,000;32,204;24,357;18,941; 99,024; 75,222;  43,094;25,625;;11,450;1,162
1997-02-09;  0,700;32,295;23,783;18,556;100,000; 79,212;  42,155;25,174;; 8,450;0,735
1997-02-10;  0,100;32,547;24,128;17,579;100,000; 74,597;  37,187;27,218;; 8,450;0,943
1997-02-11;  0,000;32,410;24,545;18,416;100,000; 73,633;  37,456;25,592;; 7,700;0,941
1997-02-12; 13,300;32,912;23,200;17,832; 99,899; 77,481;  33,428;22,919;;10,700;0,954
1997-02-13;  3,300;30,428;23,026;18,897;100,000; 83,991;  51,015;23,191;; 8,450;0,922
1997-02-14;  3,200;31,695;22,694;18,615;100,000; 86,652;  47,595;15,829;; 6,950;0,658
1997-02-15;  4,200;29,525;22,692;19,563;100,000; 88,263;  54,042;16,381;; 6,950;0,767
1997-02-16; 28,500;29,587;22,280;18,884;100,000; 89,688;  56,395;15,748;; 8,450;0,913
1997-02-17;  9,600;30,251;22,122;17,599;100,000; 89,463;  53,109;19,312;;12,200;0,998
1997-02-18;  0,200;28,817;22,718;19,402;100,000; 87,986;  54,655;15,496;; 7,700;1,099
1997-02-19;  0,000;31,297;24,913;18,673;100,000; 79,373;  51,888;24,999;; 6,950;1,101
1997-02-20;  3,800;30,566;24,207;19,256;100,000; 86,308;  56,597;18,320;; 7,700;0,842
1997-02-21;  0,600;31,270;23,522;19,943;100,000; 88,850;  53,633;17,373;; 9,200;0,938
1997-02-22;  0,000;33,771;24,815;18,839;100,000; 81,146;  41,416;24,160;; 6,950;0,605
1997-02-23;  2,200;33,381;25,214;20,553;100,000; 84,011;  41,282;21,608;; 9,950;1,003
1997-02-24;  0,000;30,644;24,928;20,136;100,000; 81,075;  54,372;20,850;; 7,700;1,499
1997-02-25;  0,000;31,465;24,885;19,942;100,000; 81,837;  50,210;24,059;;10,700;1,328
1997-02-26;  0,000;32,195;25,084;19,607;100,000; 79,167;  47,525;23,274;; 6,950;1,336
1997-02-27;  0,000;32,126;24,797;18,684; 99,950; 75,019;  41,215;26,649;;28,700;2,019
1997-02-28;  0,000;30,120;23,570;18,241; 97,076; 75,235;  49,152;22,064;;10,700;2,485
1997-03-01;  0,000;29,592;22,796;17,626; 98,218; 75,684;  44,989;22,274;; 8,450;2,715
1997-03-02;  0,000;29,111;22,387;16,189;100,000; 75,977;  46,797;22,771;; 9,950;1,499
1997-03-03;  3,200;27,506;21,497;16,769;100,000; 85,239;  54,188;13,410;; 5,450;0,840
1997-03-04;  2,000;28,198;21,920;16,953;100,000; 84,144;  55,330;19,923;; 6,200;0,777
